club,start.yr
LA Galaxy,2014
New York Red Bulls,2015
Real Salt Lake,2015
Montreal Impact,2015
Toronto FC,2015
Vancouver Whitecaps FC,2015
Philadelphia Union,2016
Seattle Sounders FC,2015
Portland Timbers,2015
Houston Dynamo,2016
Sporting Kansas City,2016
Orlando City SC,2016
